No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
17,Gene Conley,PF,6-8,225,November 10 1930,us US,3,Washington State,conlege01
14,Bob Cousy,PG,6-1,175,August 9 1928,us US,10,Holy Cross,cousybo01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us US,1,George Washington,guarige01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us US,4,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us US,2,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us US,3,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us US,5,Oregon,loscuji01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us US,5,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us US,4,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us US,R,NYU,sandeto01
21,Bill Sharman,SG,6-1,175,May 25 1926,us US,10,USC,sharmbi01
